timestamp,month,day,cakeName,cakeWord,description,note
,1,1,フラン・パティシエ,しなやかな変化,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたフラン・パティシエは、しなやかな変化をそっと思い出させてくれる一品です！",
,1,2,タルト・シトロン,深い共感力,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたタルト・シトロンは、深い共感力をそっと思い出させてくれる一品です！",
,1,3,ノワゼットダックワーズ,知的な探求心,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたノワゼットダックワーズは、知的な探求心をそっと思い出させてくれる一品です！",
,1,4,タルト・オ・フレーズ,誠実なまなざし,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたタルト・オ・フレーズは、誠実なまなざしをそっと思い出させてくれる一品です！",
,1,5,サフランミルクケーキ,柔らかな包容力,"まっすぐな思いを抱くあなた。
香りと食感の変化が楽しいサフランミルクケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,1,6,タルト・オ・ポム,頼れる安定感,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたタルト・オ・ポムは、頼れる安定感をそっと思い出させてくれる一品です！",
,1,7,ピスタチオマロンオペラ,秘めた情熱,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたピスタチオマロンオペラは、秘めた情熱をそっと思い出させてくれる一品です！",
,1,8,タルト・ブルダルー,隠れた遊び心,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたタルト・ブルダルーは、隠れた遊び心をそっと思い出させてくれる一品です！",
,1,9,デーツローフ,芯の強さ,"一歩ずつ形にしていくあなた。
素朴さの中に奥行きがあるデーツローフは、芯の強さをそっと思い出させてくれる一品です！",
,1,10,ムース・オ・ショコラケーキ,しなやかな変化,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたムース・オ・ショコラケーキは、しなやかな変化をそっと思い出させてくれる一品です！",
,1,11,セサミハニーケーキ,深い共感力,"まっすぐな思いを抱くあなた。
香りと食感の変化が楽しいセサミハニーケーキは、深い共感力をそっと思い出させてくれる一品です！",
